date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
18-May-2018 7:06:07 AM GMT+00:00,10140700102,"Shipping Services
",402-5929844-3150746,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
18-May-2018 7:06:49 AM GMT+00:00,10140700102,"Order
",402-5929844-3150746,DISPOC,"DISPOSABLE NON WOVEN PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,F",1,amazon.in,Merchant,Nagpur,MAHARASHTRA,440027,347.32,58.04,0,48.64,0,0,0,-69.64,0,-5.9,0,378.46
18-May-2018 8:21:03 AM GMT+00:00,10280094712,"Transfer
",,,To account ending with: ,,,,,,,0,0,0,0,0,0,0,0,0,0,"-10,666.65","-10,666.65"
18-May-2018 1:05:03 PM GMT+00:00,10280094712,"Order
",404-3197621-4709165,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",NEW DELHI,DELHI,110009,417.86,44.64,0,55.5,0,0,0,-71.79,-94.2,-17.7,0,334.31
19-May-2018 7:12:54 AM GMT+00:00,10280094712,"Shipping Services
",171-5387333-0937157,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
19-May-2018 7:13:04 AM GMT+00:00,10280094712,"Shipping Services
",405-3486989-3191540,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
19-May-2018 7:13:04 AM GMT+00:00,10280094712,"Shipping Services
",404-8684361-3779513,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
19-May-2018 7:13:10 AM GMT+00:00,10280094712,"Shipping Services
",408-8801244-3217107,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
19-May-2018 7:13:20 AM GMT+00:00,10280094712,"Order
",171-5387333-0937157,LUFA,LOOFA PACK OF 10 PCS 100% NATURAL RIDGE GOURD FIBER LOOFAH,1,amazon.in,Merchant,AHMEDABAD,GUJARAT,380054,266.07,58.04,0,38.89,0,0,0,-12.85,0,-5.9,0,344.25
19-May-2018 7:13:36 AM GMT+00:00,10280094712,"Order
",405-3486989-3191540,DISPMAN1,JEOGA Pack of 10 PCS Good Quality Men Underwear Brief USE and Through Disposable,1,amazon.in,Merchant,NEW DELHI,DELHI,110048,356.25,58.04,0,49.71,0,0,0,-71.18,0,-5.9,0,386.92
